"Status","Year","Age","Function_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","30-39","Counter Fraud","SEO/HEO","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Debt","AA/AO","Heterosexual / straight","50","[c]","20400","20140"
"New entrant CS","2021","30-39","Debt","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Debt","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Debt","AA/AO","Unknown","150","[c]","20270","20140"
"New entrant CS","2021","30-39","Debt","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Debt","EO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Debt","EO","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Digital, Data & Technology","AA/AO","Heterosexual / straight","10","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Digital, Data & Technology","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Digital, Data & Technology","AA/AO","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Digital, Data & Technology","EO","Heterosexual / straight","35","[c]","26530","26350"
"New entrant CS","2021","30-39","Digital, Data & Technology","EO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Digital, Data & Technology","EO","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Digital, Data & Technology","EO","Unknown","40","[c]","26750","26410"
"New entrant CS","2021","30-39","Digital, Data & Technology","G6/G7","Heterosexual / straight","90","[c]","56930","54700"
"New entrant CS","2021","30-39","Digital, Data & Technology","G6/G7","LGBO","10","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Digital, Data & Technology","G6/G7","Undeclared","10","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Digital, Data & Technology","G6/G7","Unknown","60","[c]","58090","55700"
"New entrant CS","2021","30-39","Digital, Data & Technology","SCS level","Heterosexual / straight","5","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Digital, Data & Technology","SCS level","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Digital, Data & Technology","SCS level","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Digital, Data & Technology","SEO/HEO","Heterosexual / straight","145","[c]","36920","36740"
"New entrant CS","2021","30-39","Digital, Data & Technology","SEO/HEO","LGBO","15","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Digital, Data & Technology","SEO/HEO","Undeclared","10","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Digital, Data & Technology","SEO/HEO","Unknown","105","[c]","36490","36500"
"New entrant CS","2021","30-39","Digital, Data & Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Finance","AA/AO","Heterosexual / straight","10","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Finance","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Finance","AA/AO","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Finance","EO","Heterosexual / straight","20","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Finance","EO","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Finance","EO","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Finance","G6/G7","Heterosexual / straight","25","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Finance","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Finance","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Finance","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Finance","SEO/HEO","Heterosexual / straight","70","[c]","36210","35900"
"New entrant CS","2021","30-39","Finance","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
