"Status","Year","Function_of_post","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Internal Audit","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","HM Revenue and Customs","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","HM Revenue and Customs","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","HM Treasury","Female","15","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","HM Treasury","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Ministry of Defence","Female","5","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Ministry of Justice","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","United Kingdom Statistics Authority","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","United Kingdom Statistics Authority","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Attorney General's Departments","Female","610","[c]","34040","26970"
"New entrant CS","2021","Legal","Attorney General's Departments","Male","330","[c]","38380","39750"
"New entrant CS","2021","Legal","Charity Commission","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Charity Commission","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Competition and Markets Authority","Female","15","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Competition and Markets Authority","Male","5","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Department for Education","Female","5","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Department for Education","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","HM Land Registry","Female","15","[c]","[c]","[c]"
"New entrant CS","2021","Legal","HM Land Registry","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","Legal","HM Revenue and Customs","Female","25","[c]","[c]","[c]"
"New entrant CS","2021","Legal","HM Revenue and Customs","Male","15","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Ministry of Justice","Female","125","[c]","29620","26550"
"New entrant CS","2021","Legal","Ministry of Justice","Male","60","[c]","28860","26550"
"New entrant CS","2021","Legal","National Crime Agency","Female","10","[c]","[c]","[c]"
"New entrant CS","2021","Legal","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Office for Standards in Education","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Office for Standards in Education","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Office of Gas and Electricity Markets","Female","10","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Scottish Government","Female","80","[c]","26500","20850"
"New entrant CS","2021","Legal","Scottish Government","Male","40","[c]","25560","20850"
"New entrant CS","2021","Legal","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","UK Supreme Court","Female","10","[c]","[c]","[c]"
"New entrant CS","2021","Legal","UK Supreme Court","Male","5","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Welsh Government","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Welsh Government","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Attorney General's Departments","Female","5","[c]","[c]","[c]"
"New entrant CS","2021","No function","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Cabinet Office","Female","545","[c]","31270","28000"
"New entrant CS","2021","No function","Cabinet Office","Male","360","[c]","33470","28000"
"New entrant CS","2021","No function","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Chancellor's other departments","Male","5","[c]","[c]","[c]"
"New entrant CS","2021","No function","Charity Commission","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Charity Commission","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Department for Business, Energy and Industrial Strategy","Female","595","[c]","30720","27680"
"New entrant CS","2021","No function","Department for Business, Energy and Industrial Strategy","Male","505","[c]","33330","33570"
"New entrant CS","2021","No function","Department for Digital, Culture, Media and Sport","Female","150","[c]","36690","34020"
"New entrant CS","2021","No function","Department for Digital, Culture, Media and Sport","Male","105","[c]","38850","34020"
"New entrant CS","2021","No function","Department for Education","Female","240","[c]","34630","29360"
"New entrant CS","2021","No function","Department for Education","Male","125","[c]","35340","32940"
"New entrant CS","2021","No function","Department for Environment, Food and Rural Affairs","Female","675","[c]","31140","28030"
"New entrant CS","2021","No function","Department for Environment, Food and Rural Affairs","Male","470","[c]","32090","29180"
"New entrant CS","2021","No function","Department for International Trade","Female","125","[c]","32710","31800"
"New entrant CS","2021","No function","Department for International Trade","Male","100","[c]","33830","31800"
"New entrant CS","2021","No function","Department for Transport","Female","425","[c]","26810","21590"
"New entrant CS","2021","No function","Department for Transport","Male","475","[c]","31660","26590"
"New entrant CS","2021","No function","Department for Work and Pensions","Female","90","[c]","31090","26370"
"New entrant CS","2021","No function","Department for Work and Pensions","Male","75","[c]","34180","26370"
"New entrant CS","2021","No function","Department of Health and Social Care","Female","1800","[c]","34630","32330"
"New entrant CS","2021","No function","Department of Health and Social Care","Male","775","[c]","39600","32790"
"New entrant CS","2021","No function","ESTYN","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","ESTYN","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Food Standards Agency","Female","35","[c]","32870","32350"
"New entrant CS","2021","No function","Food Standards Agency","Male","25","[c]","[c]","[c]"
"New entrant CS","2021","No function","HM Land Registry","Female","315","[c]","22950","22350"
"New entrant CS","2021","No function","HM Land Registry","Male","210","[c]","22800","22350"
"New entrant CS","2021","No function","HM Revenue and Customs","Female","1095","[c]","21890","20140"
"New entrant CS","2021","No function","HM Revenue and Customs","Male","1045","[c]","22130","20140"
"New entrant CS","2021","No function","HM Treasury","Female","165","[c]","31560","28500"
"New entrant CS","2021","No function","HM Treasury","Male","170","[c]","33960","30500"
"New entrant CS","2021","No function","Ministry of Defence","Female","70","[c]","28450","25520"
"New entrant CS","2021","No function","Ministry of Defence","Male","115","[c]","30260","26480"
"New entrant CS","2021","No function","Ministry of Housing, Communities and Local Government","Female","145","[c]","34090","30190"
"New entrant CS","2021","No function","Ministry of Housing, Communities and Local Government","Male","125","[c]","37780","33210"
"New entrant CS","2021","No function","Ministry of Justice","Female","4585","[c]","22840","22680"
"New entrant CS","2021","No function","Ministry of Justice","Male","3305","[c]","23750","22850"
"New entrant CS","2021","No function","National Crime Agency","Female","465","[c]","32060","32260"
"New entrant CS","2021","No function","National Crime Agency","Male","430","[c]","35080","34140"
"New entrant CS","2021","No function","Northern Ireland Office","Female","10","[c]","[c]","[c]"
"New entrant CS","2021","No function","Northern Ireland Office","Male","5","[c]","[c]","[c]"
"New entrant CS","2021","No function","Office for Standards in Education","Female","80","[c]","51850","46360"
"New entrant CS","2021","No function","Office for Standards in Education","Male","40","[c]","59660","70500"
"New entrant CS","2021","No function","Office of Gas and Electricity Markets","Female","105","[c]","29190","25000"
"New entrant CS","2021","No function","Office of Gas and Electricity Markets","Male","130","[c]","32430","25750"
"New entrant CS","2021","No function","Office of Qualifications and Examinations Regulation","Female","20","[c]","[c]","[c]"
"New entrant CS","2021","No function","Office of Qualifications and Examinations Regulation","Male","15","[c]","[c]","[c]"
"New entrant CS","2021","No function","Office of Rail and Road","Female","5","[c]","[c]","[c]"
"New entrant CS","2021","No function","Office of Rail and Road","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","No function","Other Cabinet Office Agencies","Female","25","[c]","[c]","[c]"
"New entrant CS","2021","No function","Other Cabinet Office Agencies","Male","30","[c]","30810","27770"
"New entrant CS","2021","No function","Scottish Government","Female","190","[c]","21730","20810"
"New entrant CS","2021","No function","Scottish Government","Male","155","[c]","22420","20810"
"New entrant CS","2021","No function","The National Archives","Female","20","[c]","[c]","[c]"
"New entrant CS","2021","No function","The National Archives","Male","15","[c]","[c]","[c]"
"New entrant CS","2021","No function","United Kingdom Statistics Authority","Female","200","[c]","27350","24200"
"New entrant CS","2021","No function","United Kingdom Statistics Authority","Male","145","[c]","28950","29540"
"New entrant CS","2021","No function","United Kingdom Statistics Authority","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2021","No function","Wales Office","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Wales Office","Male","5","[c]","[c]","[c]"
"New entrant CS","2021","No function","Water Services Regulation Authority","Female","10","[c]","[c]","[c]"
"New entrant CS","2021","No function","Water Services Regulation Authority","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Cabinet Office","Female","20","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Cabinet Office","Male","20","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Charity Commission","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Charity Commission","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Competition and Markets Authority","Female","15","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Competition and Markets Authority","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Department for Business, Energy and Industrial Strategy","Female","40","[c]","38800","33570"
"New entrant CS","2021","Project Delivery","Department for Business, Energy and Industrial Strategy","Male","35","[c]","38610","33570"
"New entrant CS","2021","Project Delivery","Department for Digital, Culture, Media and Sport","Female","35","[c]","39460","34020"
"New entrant CS","2021","Project Delivery","Department for Digital, Culture, Media and Sport","Male","30","[c]","43670","43980"
"New entrant CS","2021","Project Delivery","Department for Education","Female","30","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Department for Education","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Department for Environment, Food and Rural Affairs","Female","35","[c]","34300","35900"
"New entrant CS","2021","Project Delivery","Department for Environment, Food and Rural Affairs","Male","20","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Department for International Trade","Female","5","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Department for International Trade","Male","[c]","[c]","[c]","[c]"
