"Status","Year","Disability","Organisation","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Valuation Office Agency","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Property","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Property","AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Property","EO","45","40","26950","26000"
"In post","2021","Declared disabled","Valuation Office Agency","Property","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Property","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Property","HEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Property","SEO","30","25","44760","45250"
"In post","2021","Declared disabled","Valuation Office Agency","Social Research","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Statistics","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Statistics","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Statistics","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Property","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Property","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Science and Engineering","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Science and Engineering","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Science and Engineering","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Science and Engineering","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Other","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Science and Engineering","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Science and Engineering","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Science and Engineering","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Science and Engineering","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Veterinarian","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Veterinarian","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","Corporate Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","Corporate Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","Economics","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","Economics","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","Intelligence Analysis","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","International Trade","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Corporate Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Corporate Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Corporate Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Corporate Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Corporate Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
